lon,lat,value,qc_reason
120.33,23.11,24.8,
120.36,23.11,24.3,
120.39,23.11,22.8,
120.42,23.11,21.9,
120.45,23.11,22.5,
120.48,23.11,22.6,
120.51,23.11,20.8,
120.54,23.11,15.2,
120.57,23.11,20.3,
120.6,23.11,19.8,
120.63,23.11,18.3,
120.66,23.11,15.5,
120.69,23.11,12.0,
120.72,23.11,13.6,
120.75,23.11,6.9,
120.78,23.11,3.1,
120.81,23.11,10.1,
120.84,23.11,9.4,
120.87,23.11,9.3,
120.9,23.11,15.4,
120.93,23.11,18.5,
120.96,23.11,20.0,
120.99,23.11,22.3,
121.02,23.11,17.2,
121.05,23.11,23.9,
121.08,23.11,24.0,
121.11,23.11,23.9,
121.14,23.11,19.2,
121.17,23.11,22.1,
121.2,23.11,15.3,
121.23,23.11,23.1,
121.26,23.11,26.1,
120.0,23.14,25.3,
120.03,23.14,25.3,
120.06,23.14,25.3,
120.09,23.14,25.2,
120.12,23.14,25.1,
120.15,23.14,25.1,
120.18,23.14,25.0,
120.21,23.14,24.9,
120.24,23.14,24.7,
120.27,23.14,24.8,
120.3,23.14,24.7,
120.33,23.14,24.3,
120.36,23.14,24.5,
120.39,23.14,23.6,
120.42,23.14,18.7,
120.45,23.14,23.3,
120.48,23.14,19.4,
120.51,23.14,21.5,
120.54,23.14,16.5,
120.57,23.14,16.5,
120.6,23.14,20.4,
120.63,23.14,19.2,
120.66,23.14,16.1,
120.69,23.14,15.3,
120.72,23.14,7.8,
120.75,23.14,3.0,
120.78,23.14,5.5,
120.81,23.14,6.6,
120.84,23.14,4.2,
120.87,23.14,8.7,
120.9,23.14,12.6,
120.93,23.14,14.6,
120.96,23.14,21.4,
120.99,23.14,21.8,
121.02,23.14,22.7,
121.05,23.14,20.9,
121.08,23.14,24.0,
121.11,23.14,24.4,
121.14,23.14,23.7,
121.17,23.14,22.6,
121.2,23.14,12.5,
121.23,23.14,20.5,
121.26,23.14,25.3,
121.98,23.14,25.4,|R3_lon_low_coverage
120.0,23.17,25.3,
120.03,23.17,25.2,
120.06,23.17,25.3,
120.09,23.17,25.2,
120.12,23.17,25.2,
120.15,23.17,25.1,
120.18,23.17,25.0,
120.21,23.17,24.9,
120.24,23.17,24.8,
120.27,23.17,24.3,
120.3,23.17,24.1,
120.33,23.17,22.5,
120.36,23.17,24.4,
120.39,23.17,23.5,
120.42,23.17,21.6,
120.45,23.17,18.8,
120.48,23.17,22.9,
120.51,23.17,17.7,
120.54,23.17,17.9,
120.57,23.17,12.5,
120.6,23.17,13.6,
120.63,23.17,17.3,
120.66,23.17,20.0,
120.69,23.17,15.0,
120.72,23.17,7.9,
120.75,23.17,7.7,
120.78,23.17,2.6,
120.81,23.17,9.3,
120.84,23.17,8.9,
120.87,23.17,12.7,
120.9,23.17,20.2,
120.93,23.17,16.4,
120.96,23.17,12.8,
120.99,23.17,17.7,
121.02,23.17,13.9,
121.05,23.17,20.2,
121.08,23.17,18.8,
121.11,23.17,24.1,
121.14,23.17,24.0,
121.17,23.17,21.3,
121.2,23.17,16.0,
121.23,23.17,17.2,
121.26,23.17,22.7,
121.98,23.17,25.4,|R3_lon_low_coverage
120.0,23.2,25.4,
120.03,23.2,25.3,
120.06,23.2,25.3,
120.09,23.2,25.3,
120.12,23.2,25.3,
120.15,23.2,25.1,
