lon,lat,value,qc_reason,y_pred_oof,residual_oof
120.84,22.6,25.9,,20.47753345319884,5.422466546801157
120.87,22.6,26.7,,21.490222203032776,5.209777796967224
120.15,22.63,26.4,,25.758435382673873,0.6415646173261251
120.18,22.63,26.2,,25.75760929617337,0.4423907038266286
120.21,22.63,26.0,,25.762577804061415,0.23742219593858493
120.24,22.63,25.4,,25.760843603920843,-0.3608436039208449
120.27,22.63,25.4,,25.61438126237097,-0.21438126237097066
120.3,22.63,25.4,,25.614680904528427,-0.21468090452842858
120.33,22.63,25.4,,25.615089256533988,-0.21508925653398947
120.36,22.63,25.4,,25.61566658437735,-0.21566658437735242
120.39,22.63,25.5,,25.61654515450229,-0.11654515450229042
120.42,22.63,25.5,,25.201258634997068,0.29874136500293247
120.45,22.63,25.6,,25.23874256869556,0.3612574313044412
120.48,22.63,25.8,,25.574040618518374,0.2259593814816263
120.51,22.63,26.0,,25.572601567777784,0.4273984322222155
120.54,22.63,24.9,,25.582152227018184,-0.6821522270181859
120.57,22.63,21.2,,25.58168416143559,-4.38168416143559
120.6,22.63,16.6,,22.584063022123996,-5.984063022123994
120.63,22.63,8.2,,20.740600722280956,-12.540600722280956
120.66,22.63,12.7,,20.73201520340226,-8.03201520340226
120.69,22.63,19.6,,21.020658864379232,-1.4206588643792308
120.72,22.63,20.5,,20.936163141251956,-0.43616314125195643
120.75,22.63,18.2,,19.129632148462626,-0.9296321484626269
120.78,22.63,21.4,,18.982384739267047,2.4176152607329513
120.81,22.63,20.6,,19.737603566206037,0.8623964337939647
120.84,22.63,22.9,,20.1701900068133,2.7298099931866986
120.87,22.63,25.0,,20.898041382117583,4.101958617882417
120.15,22.66,25.5,,25.586872585208134,-0.08687258520813401
120.18,22.66,25.6,,25.586163975684368,0.013836024315633466
120.21,22.66,25.4,,25.446993238837845,-0.04699323883784601
120.24,22.66,25.3,,25.44714998590984,-0.14714998590983797
120.27,22.66,25.3,,25.45921809863495,-0.1592180986349483
120.3,22.66,25.3,,25.52982495046829,-0.22982495046828788
120.33,22.66,25.3,,25.527601250868777,-0.22760125086877636
120.36,22.66,24.5,,25.524580096326524,-1.024580096326524
120.39,22.66,25.4,,25.520599118649102,-0.12059911864910333
120.42,22.66,25.5,,25.002164930289677,0.4978350697103231
120.45,22.66,25.5,,25.04580151309239,0.454198486907611
120.48,22.66,25.5,,25.462835435261034,0.037164564738965566
120.51,22.66,25.7,,25.462293495591172,0.2377065044088269
120.54,22.66,20.2,,25.50466278891788,-5.304662788917881
120.57,22.66,19.0,,25.507338857461644,-6.507338857461644
120.6,22.66,22.7,,21.90009012859231,0.7999098714076887
120.63,22.66,17.9,,18.13446715376573,-0.23446715376573124
120.66,22.66,16.7,,18.144438444296018,-1.4444384442960185
120.69,22.66,16.7,,19.04861287822986,-2.3486128782298614
120.72,22.66,17.7,,19.03897611352782,-1.3389761135278206
120.75,22.66,19.5,,17.78679356505531,1.7132064349446914
120.78,22.66,22.5,,17.874840324982067,4.625159675017933
120.81,22.66,23.8,,18.981805234869363,4.818194765130638
120.84,22.66,25.4,,19.280200444087292,6.1197995559127065
120.87,22.66,24.0,,20.586170548018107,3.4138294519818935
120.9,22.66,27.3,,23.168264801741504,4.131735198258497
121.35,22.66,26.1,,25.584649989562617,0.515350010437384
120.18,22.69,25.4,,25.300989411110915,0.0990105888890831
120.21,22.69,25.4,,25.288564100346072,0.11143589965392664
120.24,22.69,25.4,,25.2888589349126,0.11114106508739852
120.27,22.69,25.1,,25.373368296140395,-0.2733682961403936
120.3,22.69,24.7,,25.371959932050505,-0.6719599320505054
120.33,22.69,25.2,,25.369995099170076,-0.1699950991700767
120.36,22.69,25.3,,25.367137407435074,-0.06713740743507302
120.39,22.69,25.3,,25.362740731056533,-0.06274073105653244
120.42,22.69,25.4,,24.82989375185614,0.5701062481438584
120.45,22.69,25.3,,24.86450291438416,0.43549708561583955
120.48,22.69,25.3,,25.359460085780178,-0.05946008578017725
120.51,22.69,25.3,,25.364958580403588,-0.06495858040358726
120.54,22.69,22.4,,25.409424594132055,-3.0094245941320565
120.57,22.69,25.2,,25.41282016299202,-0.21282016299202056
120.6,22.69,24.5,,21.11227308346432,3.38772691653568
120.63,22.69,20.4,,16.036027795989774,4.363972204010224
120.66,22.69,13.8,,16.035141351394607,-2.2351413513946063
120.69,22.69,12.7,,17.152823200802008,-4.452823200802008
120.72,22.69,15.5,,17.015909546142097,-1.5159095461420975
120.75,22.69,15.2,,17.049600335989908,-1.8496003359899085
120.78,22.69,19.0,,17.294943423508535,1.7050565764914651
120.81,22.69,20.3,,18.0519582618141,2.2480417381859006
120.84,22.69,23.1,,18.714467253179922,4.385532746820079
120.87,22.69,23.9,,21.05323607051034,2.846763929489658
120.9,22.69,26.9,,23.48079166925902,3.419208330740979
120.93,22.69,27.1,,25.476422831596015,1.6235771684039868
120.15,22.72,25.3,,25.092768395969266,0.20723160403073493
120.18,22.72,25.3,,25.182325913399403,0.11767408660059786
120.21,22.72,25.4,,25.238813091548785,0.16118690845121364
120.24,22.72,25.3,,25.23813130907564,0.06186869092435998
120.27,22.72,25.0,,25.23748778989612,-0.23748778989612163
120.3,22.72,24.9,,25.236936617230405,-0.3369366172304069
120.33,22.72,25.2,,25.178289763131577,0.021710236868422328
120.36,22.72,25.2,,25.234573861833958,-0.03457386183395883
120.39,22.72,25.2,,25.231581182577663,-0.03158118257766418
120.42,22.72,25.2,,24.935521677331263,0.2644783226687366
120.45,22.72,25.2,,24.940333797375587,0.25966620262441253
120.48,22.72,25.1,,25.28155847259915,-0.18155847259914992
120.51,22.72,24.1,,25.28959085974522,-1.1895908597452198
120.54,22.72,24.1,,25.313630732220023,-1.2136307322200217
120.57,22.72,24.7,,25.31574004596127,-0.615740045961271
